ClaimNbr,CarBrandCode,CarModel
CLM011A1-6302-002310,RANGE ROVER,EVOQUE
CLM011A1-6302-002324,ISUZU,DMAX
CLM011A1-6302-002338,ISUZU,MU-X
CLM011A1-6302-002342,PANTHERA,CLASSIC1
CLM011A1-6302-002356,TOYOTA,ALTIS
CLM011A1-6302-002360,TOYOTA,VIGO
CLM011A1-6302-002374,MITSUBISHI,MIRAGE
CLM011A1-6302-002388,HONDA,CITY DI
CLM011A1-6302-002392,MITSUBISHI,STRADA MEGA CAB
CLM011A1-6302-002403,ISUZU,DMAX
CLM011A1-6302-002417,MAZDA,3
CLM011A1-6302-002421,ISUZU,DMAX
CLM011A1-6302-002435,ISUZU,DMAX
CLM011A1-6302-002449,TOYOTA,CAMRY
CLM011A1-6302-002453,TOYOTA,COMMUTER
CLM011A1-6302-002467,ISUZU,DMAX
CLM011A1-6302-002485,ISUZU,DMAX
CLM011A1-6302-002499,HONDA,CIVIC
CLM011A1-6302-002500,ISUZU,DMAX
CLM011A1-6302-002514,HONDA,CITY
CLM011A1-6302-002528,ISUZU,DMAX
CLM011A1-6302-002532,MITSUBISHI,MIRAGE
CLM011A1-6302-002546,TOYOTA,FORTUNER
CLM011A1-6302-002550,TOYOTA,COROLLA 1.6 GLI
CLM011A1-6302-002564,ISUZU,DMAX
CLM011A1-6302-002582,HONDA,CR-V
CLM011A1-6302-002596,ISUZU,DMAX
CLM011A1-6302-002607,NISSAN,FRONTIER
CLM011A1-6302-002611,ISUZU,DMAX HI-LANDER
CLM011A1-6302-002625,ISUZU,DMAX
CLM011A1-6302-002639,ISUZU,DMAX
CLM011A1-6302-002657,HONDA,CITY
CLM011A1-6302-002661,NISSAN,NOTE
CLM011A1-6302-002675,ISUZU,DMAX
CLM011A1-6302-002689,ISUZU,DMAX
CLM011A1-6302-002693,TOYOTA,VIGO DOUBLE CAB
CLM011A1-6302-002704,ISUZU,DMAX
CLM011A1-6302-002718,TOYOTA,CAMRY
CLM011A1-6302-002722,TOYOTA,REVO
CLM011A1-6302-002740,TOYOTA,VIGO
CLM011A1-6302-002754,ISUZU,DMAX
CLM011A1-6302-002768,HONDA,CITY
CLM011A1-6302-002772,TOYOTA,COMMUTER
CLM011A1-6302-002786,ISUZU,DMAX
CLM011A1-6302-002790,ISUZU,DMAX
CLM011A1-6302-002801,ISUZU,DMAX
CLM011A1-6302-002815,ISUZU,DMAX
CLM011A1-6302-002829,ISUZU,DMAX
CLM011A1-6302-002833,ISUZU,DMAX
CLM011A1-6302-002847,NISSAN,NAVARA
CLM011A1-6302-002851,ISUZU,DMAX
CLM011A1-6302-002865,MITSUBISHI,TRITON MEGA CAB
CLM011A1-6302-002879,MITSUBISHI,TRITON SINGLECAB
CLM011A1-6302-002883,ISUZU,DMAX
CLM011A1-6302-002897,ISUZU,DMAX
CLM011A1-6302-002908,ISUZU,DMAX 1.9
CLM011A1-6302-002912,ISUZU,DMAX
CLM011A1-6302-002926,ISUZU,MU-X
CLM011A1-6302-002930,TOYOTA,CAMRY 2.0
CLM011A1-6302-002944,MG,3
CLM011A1-6302-002958,ISUZU,DMAX
CLM011A1-6302-002962,ISUZU,DMAX
CLM011A1-6302-002976,ISUZU,DMAX
CLM011A1-6302-002994,ISUZU,DMAX
CLM011A1-6302-003007,TOYOTA,FORTUNER
CLM011A1-6302-003011,ISUZU,DMAX
CLM011A1-6302-003025,TOYOTA,CAMRY 2.0
CLM011A1-6302-003039,TOYOTA,YARIS
CLM011A1-6302-003043,TOYOTA,YARIS
CLM011A1-6302-003057,TOYOTA,VIGO
CLM011A1-6302-003061,MITSUBISHI,TRITON MEGA CAB
CLM011A1-6302-003075,TOYOTA,COROLLA HITORQ 1.6 GXI AT
CLM011A1-6302-003089,ISUZU,DMAX
CLM011A1-6302-003093,TOYOTA,VIGO
CLM011A1-6302-003104,ISUZU,DMAX HI-LANDER
CLM011A1-6302-003118,HONDA,CIVIC
CLM011A1-6302-003122,ISUZU,DMAX
CLM011A1-6302-003136,HONDA,CITY
CLM011A1-6302-003140,ISUZU,DMAX HI-LANDER
CLM011A1-6302-003154,ISUZU,DMAX
CLM011A1-6302-003172,TOYOTA,REVO
CLM011A1-6302-003186,MAZDA,2
CLM011A1-6302-003190,TOYOTA,SPORTCRUISER
CLM011A1-6302-003201,ISUZU,DMAX
CLM011A1-6302-003229,ISUZU,DMAX
CLM011A1-6302-003233,ISUZU,PICKUP
CLM011A1-6302-003247,ISUZU,DMAX
CLM011A1-6302-003265,ISUZU,MU-X
CLM011A1-6302-003279,TOYOTA,VIGO
CLM011A1-6302-003283,ISUZU,DMAX
CLM011A1-6302-003297,ISUZU,DMAX 1.9
CLM011A1-6302-003308,ISUZU,DMAX
CLM011A1-6302-003312,TOYOTA,COMMUTER
CLM011A1-6302-003326,FORD,RANGER DOUBLE CAB 2.2
CLM011A1-6302-003330,CHEVROLET,SONIC
CLM011A1-6302-003344,ISUZU,DMAX
CLM011A1-6302-003358,MAZDA,BT-50 2500
CLM011A1-6302-003362,ISUZU,CAB4 3.0
CLM011A1-6302-003376,ISUZU,MU-X
CLM011A1-6302-003380,TOYOTA,VIGO
CLM011A1-6302-003394,ISUZU,DMAX
CLM011A1-6302-003419,TOYOTA,COMMUTER
CLM011A1-6302-003423,TOYOTA,VIGO
CLM011A1-6302-003441,ISUZU,DMAX
CLM011A1-6302-003455,TOYOTA,CAMRY 2.4
CLM011A1-6302-003469,TOYOTA,FORTUNER
CLM011A1-6302-003473,ISUZU,DMAX
CLM011A1-6302-003487,TOYOTA,FORTUNER
CLM011A1-6302-003491,ISUZU,DMAX
CLM011A1-6302-003502,ISUZU,DMAX HI-LANDER
CLM011A1-6302-003516,ISUZU,DMAX
CLM011A1-6302-003520,ISUZU,DMAX
CLM011A1-6302-003534,MG,ZS
CLM011A1-6302-003548,SUZUKI,CIAZ
CLM011A1-6302-003552,TOYOTA,VIOS
CLM011A1-6302-003566,ISUZU,DMAX
CLM011A1-6302-003570,ISUZU,DMAX
CLM011A1-6302-003584,CHEVROLET,CRUZE
CLM011A1-6302-003598,ISUZU,DMAX
CLM011A1-6302-003609,ISUZU,DMAX
CLM011A1-6302-003627,PANTHERA,CLASSIC1
CLM011A1-6302-003631,TOYOTA,VIGO DOUBLE CAB
CLM011A1-6302-003645,NISSAN,MARCH
CLM011A1-6302-003659,ISUZU,DMAX
CLM011A1-6302-003663,TOYOTA,REVO
CLM011A1-6302-003677,ISUZU,DMAX
CLM011A1-6302-003681,HONDA,CIVIC 1.8 S
CLM011A1-6302-003695,HONDA,CR-V EXI
CLM011A1-6302-003706,TOYOTA,CAMRY 2.0
CLM011A1-6302-003710,HONDA,CITY
CLM011A1-6302-003724,HONDA,JAZZ
CLM011A1-6302-003756,TOYOTA,VIOS
CLM011A1-6302-003774,ISUZU,DMAX HI-LANDER
CLM011A1-6302-003788,ISUZU,DMAX
CLM0112M-6305-000010,HONDA,ZOOMER X
CLM011A1-6302-003792,MITSUBISHI,TRITON DOUBLE CAB
CLM011A1-6302-003803,TOYOTA,REVO SMART CAB
CLM0112M-6305-000024,HONDA,PCX150
CLM011A1-6302-003817,HONDA,HR-V
CLM0112M-6305-000038,YAMAHA,XMAX
CLM011A1-6302-003821,MITSUBISHI,MIRAGE
CLM0112M-6305-000042,YAMAHA,AEROX155
CLM011A1-6302-003835,ISUZU,DMAX HI-LANDER
CLM0112M-6305-000056,HONDA,WAVE110i
CLM0112M-6305-000060,HONDA,SCOOPY-I
CLM011A1-6302-003849,HONDA,CIVIC VTEC/ AT.
CLM011A1-6302-003853,ISUZU,DMAX
CLM0112M-6305-000074,YAMAHA,AEROX155
CLM011A1-6302-003867,TOYOTA,VIGO
CLM0112M-6305-000088,HONDA,CLICK125 I
CLM011A1-6302-003871,TOYOTA,VIGO Smart Cab
CLM0112M-6305-000092,HONDA,WAVE125 i
CLM0112M-6305-000103,YAMAHA,-
CLM011A1-6302-003885,FORD,RANGER
CLM0112M-6305-000117,HONDA,CB500FAD
CLM011A1-6302-003899,ISUZU,DMAX
CLM011A1-6302-003900,TOYOTA,FORTUNER
CLM0112M-6305-000121,HONDA,DREAM110i
CLM011A1-6302-003914,TOYOTA,FORTUNER
CLM0112M-6305-000135,YAMAHA,<= 200CC
CLM011A1-6302-003928,HONDA,CIVIC
CLM0112M-6305-000149,HONDA,CLICK
CLM011A1-6302-003932,ISUZU,DMAX
CLM0112M-6305-000153,YAMAHA,AEROX
CLM011A1-6302-003946,ISUZU,DMAX
CLM0112M-6305-000167,KAWASAKI,NINJA650R
CLM011A1-6302-003950,ISUZU,DMAX HI-LANDER
CLM0112M-6305-000171,BENELLI,TNT300S
CLM0112M-6305-000185,HONDA,<= 125CC
CLM011A1-6302-003978,TOYOTA,VIGO
CLM0112M-6305-000199,KTM,390 DUKE
CLM0112M-6305-000200,HONDA,PCX
CLM011A1-6302-003982,ISUZU,CAB4 3.0
CLM0112M-6305-000214,HONDA,CBR150R
CLM011A1-6302-003996,NISSAN,FRONTIER
CLM011A1-6302-004009,ISUZU,DMAX
CLM0112M-6305-000228,HONDA,PCX150
CLM011A1-6302-004013,MITSUBISHI,LANCER
CLM0112M-6305-000232,HONDA,PCX
CLM011A1-6302-004027,HONDA,CIVIC
CLM0112M-6305-000246,HONDA,WAVE110i
CLM011A1-6302-004031,TOYOTA,VIOS
CLM0112M-6305-000250,HONDA,CB650F
CLM011A1-6302-004045,ISUZU,DMAX
CLM0112M-6305-000264,HONDA,PCX
CLM011A1-6302-004059,ISUZU,DMAX
CLM0112M-6305-000278,HONDA,WAVE100
CLM011A1-6302-004063,TOYOTA,VIGO DOUBLE CAB
CLM0112M-6305-000282,HONDA,WAVE125 i
CLM011A1-6302-004077,TOYOTA,VIGO
CLM0112M-6305-000296,HONDA,CB300F
CLM011A1-6302-004081,ISUZU,CAB 4 2.8
CLM0112M-6305-000307,HONDA,WAVE125 i
CLM0112M-6305-000311,YAMAHA,XMAX
CLM011A1-6302-004095,ISUZU,CAB4 3.0
CLM0112M-6305-000325,HONDA,WAVE125 i
CLM011A1-6302-004106,ISUZU,DMAX
CLM011A1-6302-004110,FOMM,Concept One
CLM0112M-6305-000339,YAMAHA,NMAX
CLM011A1-6302-004124,TOYOTA,FORTUNER
CLM0112M-6305-000343,YAMAHA,NMAX
CLM011A1-6302-004138,ISUZU,DMAX
CLM0112M-6305-000357,HONDA,SCOOPY-I
CLM0112M-6305-000361,YAMAHA,M SLAZ
CLM011A1-6302-004142,HONDA,CITY
CLM011A1-6302-004156,MITSUBISHI,TRITON MEGA CAB
CLM0112M-6305-000375,HONDA,WAVE110i
CLM011A1-6302-004160,TOYOTA,COMMUTER
CLM0112M-6305-000389,YAMAHA,AEROX155
CLM011A1-6302-004174,TOYOTA,VIGO
CLM0112M-6305-000393,YAMAHA,XMAX
CLM0112M-6305-000404,HONDA,PCX
CLM011A1-6302-004188,ISUZU,DMAX 1.9
CLM011A1-6302-004192,TOYOTA,ALTIS
CLM0112M-6305-000418,HONDA,PCX
CLM011A1-6302-004203,ISUZU,DMAX
CLM0112M-6305-000422,YAMAHA,#N/A
CLM011A1-6302-004217,MERCEDES-BENZ,E200
CLM0112M-6305-000436,HONDA,WAVE110i
CLM011A1-6302-004221,HONDA,BRIO
CLM0112M-6305-000440,HONDA,<= 150CC
CLM011A1-6302-004235,MITSUBISHI,ATTRAGE
CLM0112M-6305-000454,YAMAHA,NMAX
CLM011A1-6302-004249,ISUZU,DMAX
CLM0112M-6305-000468,YAMAHA,NMAX
CLM011A1-6302-004253,ISUZU,DMAX
CLM0112M-6305-000472,VESPA,LX125 3V IE
CLM011A1-6302-004267,TOYOTA,ALTIS
CLM0112M-6305-000486,KAWASAKI,NINJA250R
CLM011A1-6302-004271,TOYOTA,VIOS
CLM0112M-6305-000490,HONDA,PCX150
CLM0112M-6305-000501,YAMAHA,GRAND FILANO
CLM011A1-6302-004285,ISUZU,DMAX
CLM0112M-6305-000515,HONDA,PCX
CLM011AP-6308-000018,TOYOTA,FORTUNER
CLM011A1-6302-004299,ISUZU,DMAX
CLM011A1-6302-004300,FORD,RANGER DOUBLE CAB 2.2
CLM011AP-6308-000027,MAZDA,2
CLM0112M-6305-000529,YAMAHA,NMAX
CLM011A1-6302-004314,TOYOTA,YARIS
CLM0112M-6305-000533,YAMAHA,SPARK115i
CLM011AP-6308-000036,TOYOTA,COMMUTER
CLM011AP-6308-000045,ISUZU,NHR 69E
CLM011A1-6302-004328,CHEVROLET,TRAILBLAZER
CLM0112M-6305-000547,HONDA,WAVE110i
CLM011A1-6302-004332,TOYOTA,COMMUTER
CLM0112M-6305-000551,HONDA,CLICK150i
CLM011AP-6308-000054,TOYOTA,CAMRY ABS 3.0
CLM011AP-6308-000063,VOLVO,940 SE
CLM011A1-6302-004346,ISUZU,DMAX HI-LANDER
CLM0112M-6305-000565,HONDA,WAVE110i
CLM011A1-6302-004350,ISUZU,DMAX
CLM011AP-6308-000072,TOYOTA,CAMRY ABS 2.2
CLM011AP-6308-000081,HONDA,CR-V
CLM0112M-6305-000579,HONDA,FORZA
CLM011A1-6302-004364,CHEVROLET,COLORADO C-CAB
CLM0112M-6305-000583,YAMAHA,NMAX
CLM011AP-6308-000090,B.M.W.,318iA
CLM0112M-6305-000597,HONDA,WAVE125 i
CLM011AP-6308-000103,VOLVO,740 GL
CLM011A1-6302-004382,FORD,RANGER
CLM0112M-6305-000608,YAMAHA,-
CLM011AP-6308-000112,TOYOTA,VIGO
CLM0112M-6305-000612,HONDA,CIVIC ES SEDAN 4DR VTI AUTO 4SP FWD 1.7I
CLM011AP-6308-000121,MERCEDES-BENZ,E240
CLM011A1-6302-004407,MITSUBISHI,TRITON MEGA CAB
CLM0112M-6305-000626,YAMAHA,NMAX
CLM011AP-6308-000130,HONDA,ACCORD VTI L
CLM011A1-6302-004411,ISUZU,DMAX
CLM0112M-6305-000630,KAWASAKI,Z250
CLM011A1-6302-004425,MITSUBISHI,TRITON DOUBLE CAB
CLM0112M-6305-000644,VESPA,GTS150 IGET ABS
CLM011AP-6308-000149,TOYOTA,VELLFIRE
CLM011AP-6308-000158,MITSUBISHI,L200 CYCLONE
CLM011A1-6302-004439,TOYOTA,REVO
CLM0112M-6305-000658,HONDA,WAVE110i
CLM011A1-6302-004443,CHEVROLET,OPTRA 1.6
CLM0112M-6305-000662,YAMAHA,GRAND FILANO
CLM011AP-6308-000167,HONDA,CIVIC
CLM011AP-6308-000176,HONDA,ACCORD LX
CLM0112M-6305-000676,YAMAHA,SR400
CLM011A1-6302-004461,ISUZU,DMAX
CLM0112M-6305-000680,HONDA,CB300F
CLM011AP-6308-000185,TOYOTA,VIGO
CLM011AP-6308-000194,HONDA,ACCORD
CLM011A1-6302-004475,SUZUKI,SWIFT
CLM0112M-6305-000694,HONDA,PCX150
CLM011AP-6308-000207,TOYOTA,CORONA
CLM0112M-6305-000705,SUZUKI,RAIDER150
CLM011A1-6302-004493,ISUZU,DMAX
CLM011AP-6308-000216,MITSUBISHI,STRADA MEGA CAB
CLM0112M-6305-000719,HONDA,CBR
CLM011AP-6308-000225,TOYOTA,VIGO
CLM011A1-6302-004504,TOYOTA,VIOS
CLM0112M-6305-000723,HONDA,CLICK8
CLM011AP-6308-000234,TOYOTA,VIGO
CLM011A1-6302-004518,ISUZU,DMAX
CLM0112M-6305-000737,HONDA,CLICK125 I
CLM011AP-6308-000243,ISUZU,DMAX
CLM0112M-6305-000741,HONDA,CLICK125 I
CLM011AP-6308-000252,TOYOTA,VIGO DOUBLE CAB
CLM011A1-6302-004536,ISUZU,DMAX
CLM0112M-6305-000755,HONDA,CRF250L
CLM011AP-6308-000261,ISUZU,SPACECAB
CLM011A1-6302-004540,ISUZU,DMAX
CLM011AP-6308-000270,NISSAN,BIG M
CLM0112M-6305-000769,HONDA,SUPER CUB
CLM011A1-6302-004554,ISUZU,DMAX
CLM0112M-6305-000773,HONDA,CB300F
CLM011AP-6308-000289,ISUZU,DRAGON EYE
CLM011A1-6302-004568,FOMM,Concept One
CLM0112M-6305-000787,HONDA,ADV
CLM011A1-6302-004572,TOYOTA,FORTUNER
CLM0112M-6305-000791,YAMAHA,<= 200CC
CLM011AP-6308-000298,ISUZU,DMAX
CLM011AP-6308-000301,MERCEDES-BENZ,S500
CLM0112M-6305-000802,YAMAHA,SR400
CLM011A1-6302-004586,MITSUBISHI,TRITON DOUBLE CAB
CLM011A1-6302-004590,ISUZU,DMAX
CLM0112M-6305-000816,YAMAHA,GRAND FILANO
CLM011A1-6302-004601,ISUZU,DMAX
CLM0112M-6305-000820,HONDA,SPICY110 i
CLM011A1-6302-004615,MITSUBISHI,TRITON DOUBLE CAB
CLM0112M-6305-000834,HONDA,WAVE110i
CLM011A1-6302-004629,MITSUBISHI,TRITON DOUBLE CAB
CLM0112M-6305-000848,YAMAHA,XMAX
CLM011A1-6302-004633,FORD,RANGER DOUBLE CAB 2.5
CLM0112M-6305-000852,YAMAHA,XMAX
CLM011A1-6302-004647,ISUZU,DMAX
CLM0112M-6305-000866,HONDA,WAVE110i
CLM011A1-6302-004651,TOYOTA,VIOS
CLM0112M-6305-000870,HONDA,WAVE125 i
CLM011A1-6302-004665,TOYOTA,REVO
CLM0112M-6305-000884,HONDA,FORZA
CLM011A3-6309-000018,ISUZU,TFR
CLM011A3-6309-000022,ISUZU,DMAX
CLM011A1-6302-004679,FORD,RANGER
CLM0112M-6305-000898,YAMAHA,JBA110D
CLM011A1-6302-004683,MERCEDES-BENZ,CLA250
CLM011A3-6309-000036,ISUZU,CAB4 3.0
CLM011A3-6309-000040,NISSAN,NAVARA
CLM0112M-6305-000909,HONDA,CLICK125 I
CLM0112M-6305-000913,YAMAHA,FILANO
CLM011A1-6302-004697,ISUZU,MU-X
CLM011A1-6302-004708,ISUZU,DMAX
CLM011A1-6302-004712,HONDA,JAZZ
CLM0112M-6305-000931,HONDA,MSX
CLM011A3-6309-000068,ISUZU,ADVENTURE (VAN)
CLM011A3-6309-000072,ISUZU,FVM32
CLM0112M-6305-000945,YAMAHA,NMAX
CLM011A1-6302-004726,ISUZU,DMAX HI-LANDER
CLM011A1-6302-004730,ISUZU,DMAX
CLM011A3-6309-000086,ISUZU,DMAX
CLM011A3-6309-000090,ISUZU,DRAGON EYE
CLM0112M-6305-000959,YAMAHA,GRAND FILANO
CLM011A1-6302-004744,HONDA,HR-V
CLM0112M-6305-000963,HONDA,WAVE Z
CLM011A3-6309-000101,MERCEDES-BENZ,-
CLM0112M-6305-000977,YAMAHA,XSR
CLM0112M-6305-000981,HONDA,WAVE110i
CLM011A1-6302-004762,MAZDA,SUPERSALOON LUXURY AT
CLM011A3-6309-000115,ISUZU,NHR 55
CLM011A1-6302-004776,ISUZU,MU-X
CLM0112M-6305-000995,HONDA,WAVE110i
CLM011A3-6309-000129,ISUZU,NKR 69E
CLM011A1-6302-004780,ISUZU,DMAX
CLM011A3-6309-000133,ISUZU,DMAX
CLM0112M-6305-001008,HONDA,PCX150
CLM0112M-6305-001012,YAMAHA,AEROX155
CLM011A1-6302-004794,TOYOTA,FORTUNER
CLM011A3-6309-000147,ISUZU,NPR75
CLM011A3-6309-000151,TOYOTA,HILUX Tiger2.5ExtraCab GL
CLM011A1-6302-004805,ISUZU,DMAX
CLM0112M-6305-001026,KAWASAKI,NINJA ZX14
CLM0112M-6305-001030,HONDA,<= 125CC
CLM011A3-6309-000165,TOYOTA,VIGO
CLM011A1-6302-004819,TOYOTA,WISH
CLM0112M-6305-001044,HONDA,WAVE125 i
CLM011A3-6309-000179,HONDA,CITY
CLM011A3-6309-000183,NISSAN,TIIDA 1.8
CLM011A1-6302-004837,MITSUBISHI,TRITON DOUBLE CAB
CLM0112M-6305-001058,HONDA,SCOOPY-I
CLM011A1-6302-004841,ISUZU,DMAX
CLM0112M-6305-001062,YAMAHA,-
CLM011A3-6309-000197,TOYOTA,WISH
CLM011A1-6302-004855,ISUZU,DMAX
CLM0112M-6305-001076,YAMAHA,NMAX
CLM011A3-6309-000208,TOYOTA,SOLUNA
CLM0112M-6305-001080,HONDA,WAVE110i
CLM011A3-6309-000212,TOYOTA,COROLLA
CLM011A1-6302-004873,CHEVROLET,COLORADO C-CAB
CLM0112M-6305-001094,YAMAHA,NMAX
CLM011A3-6309-000226,ISUZU,DMAX
CLM011A3-6309-000230,TOYOTA,HILUX Tiger 3.0 Extra Cab GL 4WD
CLM0112M-6305-001105,YAMAHA,NMAX
CLM011A1-6302-004887,ISUZU,DMAX
CLM011A1-6302-004891,ISUZU,DMAX
CLM011A3-6309-000244,TOYOTA,HIACE
CLM0112M-6305-001119,HONDA,WAVE125 i
CLM011A1-6302-004902,TOYOTA,FORTUNER
CLM0112M-6305-001123,VESPA,PIAGGIO
CLM011A3-6309-000258,TOYOTA,VIGO
CLM011A3-6309-000262,TOYOTA,HILUX Diesel
CLM011A1-6302-004916,TOYOTA,ALTIS
CLM0112M-6305-001137,SUZUKI,GSXR150
CLM011A1-6302-004920,ISUZU,CAB4 2.5
CLM0112M-6305-001141,HONDA,<= 150CC
CLM011A3-6309-000276,MITSUBISHI,L200 CYCLONE
CLM011A3-6309-000280,NISSAN,SUNNY
CLM011A1-6302-004934,ISUZU,MU-7
CLM0112M-6305-001155,HONDA,WAVE110i
CLM011A3-6309-000294,NISSAN,URVAN
CLM011A1-6302-004948,ISUZU,DMAX
CLM0112M-6305-001169,HONDA,CB150R
CLM011A1-6302-004952,TOYOTA,INNOVA
CLM0112M-6305-001173,HONDA,WAVE110i
CLM011A3-6309-000305,NISSAN,BIG M
CLM011A1-6302-004966,ISUZU,DMAX HI-LANDER
CLM0112M-6305-001187,YAMAHA,XMAX
CLM011A3-6309-000319,AUDI,Q7
CLM011A1-6302-004970,ISUZU,DMAX
CLM0112M-6305-001191,HONDA,CLICK150i
CLM011A3-6309-000323,MERCEDES-BENZ,-
CLM0112M-6305-001202,HONDA,PCX
CLM011A1-6302-004984,TOYOTA,VIOS
CLM011A3-6309-000337,ISUZU,DMAX
CLM011A3-6309-000341,CHEVROLET,TRAILBLAZER
CLM0112M-6305-001216,HONDA,WAVE110i
CLM011A1-6302-004998,ISUZU,DMAX
CLM011A1-6302-005001,ISUZU,DMAX
CLM0112M-6305-001220,SUZUKI,GD110
CLM011A3-6309-000355,ISUZU,DMAX
CLM011A1-6302-005015,ISUZU,DMAX
CLM0112M-6305-001234,HONDA,CBR650F
CLM011A3-6309-000369,NISSAN,FRONTIER
CLM011A3-6309-000373,TOYOTA,MIGHTY X2.5
CLM011A1-6302-005029,TOYOTA,REVO
CLM0112M-6305-001248,HONDA,WAVE125 i
CLM011A1-6302-005033,CHEVROLET,CAPTIVA
CLM0112M-6305-001252,HONDA,PCX
CLM011A3-6309-000387,VOLKSWAGEN,VENTO
CLM011A3-6309-000391,ISUZU,SPACECAB
CLM011A1-6302-005047,ISUZU,DMAX
CLM0112M-6305-001266,HONDA,WAVE125 i
CLM011A1-6302-005051,HONDA,BRIO AMAZE
CLM0112M-6305-001270,HONDA,CLICK125 I
CLM011A3-6309-000402,ISUZU,DMAX
CLM011A1-6302-005065,ISUZU,DMAX
CLM0112M-6305-001284,YAMAHA,RXZ-M
CLM011A3-6309-000420,MERCEDES-BENZ,C180 CLASS
CLM011A1-6302-005079,TOYOTA,COROLLA
CLM0112M-6305-001298,HONDA,CLICK150i
CLM011A3-6309-000434,SUZUKI,-
CLM0112M-6305-001309,HONDA,WAVE125 i
CLM0112M-6305-001313,YAMAHA,NMAX
CLM011A3-6309-000448,TOYOTA,COROLLA
CLM011A1-6302-005097,TOYOTA,COMMUTER
CLM011A3-6309-000452,TOYOTA,VIGO
CLM011A1-6302-005108,ISUZU,DMAX
CLM0112M-6305-001327,HONDA,WAVE110i
CLM011A1-6302-005112,MAZDA,2
CLM0112M-6305-001331,YAMAHA,MIO 125I
CLM011A3-6309-000466,TOYOTA,SOLUNA 1.5 XLI
CLM011A3-6309-000470,TOYOTA,HILUX Tiger D4D Extracab
CLM011A1-6302-005126,ISUZU,MU-7
CLM0112M-6305-001345,YAMAHA,NMAX
CLM011A1-6302-005130,HONDA,CR-V
CLM011A3-6309-000484,TOYOTA,HILUX Tiger2.4Standard
CLM0112M-6305-001359,HONDA,AIRWAVE
CLM011A1-6302-005144,HONDA,CIVIC
CLM0112M-6305-001363,HONDA,SCOOPY-I
CLM011A3-6309-000498,FORD,RANGER
CLM0112M-6305-001377,HONDA,WAVE125
CLM011A1-6302-005158,MAZDA,2
CLM011A3-6309-000509,MITSUBISHI,TRITON DOUBLE CAB
CLM011A1-6302-005162,ISUZU,DMAX
CLM0112M-6305-001381,HONDA,<= 150CC
CLM011A3-6309-000513,TOYOTA,VIGO
CLM011A1-6302-005176,ISUZU,SPACECAB SLX 2.5
CLM0112M-6305-001395,HONDA,WAVE110i
CLM011A3-6309-000527,NISSAN,BIG M PREMCAB
CLM011A1-6302-005180,TOYOTA,COMMUTER
CLM011A3-6309-000531,NISSAN,ALMERA
CLM0112M-6305-001406,YAMAHA,XMAX
CLM0112M-6305-001410,HONDA,CLICK125 I
CLM011A1-6302-005194,ISUZU,SPACECAB SLX 2.5
CLM011A3-6309-000545,MERCEDES-BENZ,-
CLM011A1-6302-005205,ISUZU,DMAX
CLM0112M-6305-001424,HONDA,CLICK
CLM011A3-6309-000559,ISUZU,GXZ 77
CLM011A3-6309-000563,OPEL,ASTRA
CLM011A1-6302-005219,ISUZU,DMAX
CLM0112M-6305-001438,HONDA,CLICK
CLM011A1-6302-005223,CHEVROLET,COLORADO C-CAB
CLM0112M-6305-001442,HONDA,WAVE125 i
CLM011A3-6309-000577,MAZDA,FIGHTER 2500
CLM011A3-6309-000581,HONDA,CITY
CLM011A1-6302-005237,CHEVROLET,CAPTIVA
CLM0112M-6305-001456,YAMAHA,-
CLM011A1-6302-005241,ISUZU,DMAX
CLM0112M-6305-001460,HONDA,รถจักรยานยนต์
CLM011A3-6309-000595,ISUZU,ADVENTURE
CLM011A1-6302-005255,ISUZU,DMAX
CLM0112M-6305-001474,YAMAHA,FINO
CLM011A3-6309-000606,SEAT,ALHAMBRA
CLM011A3-6309-000610,TOYOTA,YARIS 1.5G A
CLM011A1-6302-005269,TOYOTA,VIGO
CLM0112M-6305-001488,HONDA,WAVE110i
CLM011A1-6302-005273,CHEVROLET,COLORADO C-CAB
CLM0112M-6305-001492,YAMAHA,AEROX
CLM011A3-6309-000624,MITSUBISHI,PAJERO
CLM0112M-6305-001503,HONDA,PCX
CLM011A1-6302-005287,MAZDA,2
CLM011A3-6309-000638,TOYOTA,FORTUNER
CLM011A1-6302-005291,TOYOTA,YARIS
CLM011A3-6309-000642,MAZDA,BT-50 2500
CLM0112M-6305-001517,HONDA,MSX
CLM011A1-6302-005302,ISUZU,DMAX
CLM0112M-6305-001521,HONDA,WAVE125 i
CLM011A3-6309-000656,TOYOTA,COMMUTER
CLM011A3-6309-000660,TOYOTA,SOLUNA
CLM011A1-6302-005316,TOYOTA,COMMUTER
CLM0112M-6305-001535,HONDA,#N/A
CLM011A1-6302-005320,ISUZU,DMAX
CLM011A3-6309-000674,OPEL,CORSA
CLM0112M-6305-001549,HONDA,WAVE125 i
CLM0112M-6305-001553,YAMAHA,GT125
CLM011A1-6302-005334,TOYOTA,ALTIS
CLM011A3-6309-000688,SMM,-
CLM011A3-6309-000692,VOLVO,940 SE AT
CLM011A1-6302-005348,NISSAN,NAVARA
CLM0112M-6305-001567,KAWASAKI,NINJA300
CLM0112M-6305-001571,HONDA,WAVE110i
CLM011A3-6309-000703,MITSUBISHI,STRADA ECONOMY
CLM011A1-6302-005366,HONDA,CIVIC
CLM0112M-6305-001585,HONDA,CLICK125 I
CLM011A3-6309-000717,ISUZU,DMAX
CLM011A1-6302-005370,ISUZU,DMAX
