ClaimNbr,CarBrandCode,CarModel
CLM011BP-6310-000948,HONDA,BRIO AMAZE
CLM011BP-6310-000957,TOYOTA,HILUX Tiger2.5ExtraCab GL
CLM0112M-6302-000338,HONDA,MOOVE
CLM0112M-6302-000342,YAMAHA,4C9200
CLM011BP-6310-000966,MITSUBISHI,L200 AEROBODY
CLM011BP-6310-000975,ISUZU,SPACECAB SLX 2.5
CLM0112M-6302-000356,HONDA,PCX150
CLM011BP-6310-000984,TOYOTA,VIOS
CLM0112M-6302-000360,YAMAHA,XMAX
CLM011BP-6310-000993,CHEVROLET,COLORADO C-CAB
CLM0112M-6302-000374,YAMAHA,TRICITY
CLM011BP-6310-001003,NISSAN,MARCH
CLM0112M-6302-000388,HONDA,SCOOPY-I
CLM011BP-6310-001012,PROTON,EXORA
CLM0112M-6302-000392,HONDA,CLICK I
CLM011BP-6310-001021,TOYOTA,VIGO
CLM0112M-6302-000403,HONDA,รถจักรยานยนต์
CLM011BP-6310-001030,NISSAN,NV
CLM0112M-6302-000417,YAMAHA,<= 125CC
CLM0112M-6302-000421,HONDA,CBR150R
CLM011BP-6310-001049,MITSUBISHI,L200 CYCLONE
CLM011BP-6310-001058,TOYOTA,VIGO
CLM0112M-6302-000435,HONDA,CLICK
CLM011BP-6310-001067,TOYOTA,VIGO
CLM0112M-6302-000449,YAMAHA,5P0600
CLM011BP-6310-001076,TOYOTA,SOLUNA
CLM0112M-6302-000453,HONDA,PCX150
CLM011BP-6310-001085,TOYOTA,VIGO
CLM0112M-6302-000467,HONDA,WAVE125 i
CLM011BP-6310-001094,HONDA,JAZZ
CLM0112M-6302-000471,YAMAHA,EXCITER 150
CLM011BP-6310-001107,TOYOTA,REVO
CLM0112M-6302-000485,HONDA,PCX150
CLM011BP-6310-001116,ISUZU,SPACECAB
CLM0112M-6302-000499,HONDA,WAVE110i
CLM0112M-6302-000500,HONDA,<= 125CC
CLM011BP-6310-001125,TOYOTA,VIGO
CLM011BP-6310-001134,ISUZU,MU-7
CLM011AP-6305-000016,TOYOTA,VIGO
CLM0112M-6302-000514,HONDA,CLICK125 I
CLM011BP-6310-001143,HONDA,CITY
CLM011AP-6305-000025,NISSAN,SENTRA 1.5
CLM0112M-6302-000528,TRIUMPH,THRUXTON
CLM011BP-6310-001152,MITSUBISHI,PICK UP
CLM011AP-6305-000034,NISSAN,TIIDA 1.6
CLM0112M-6302-000532,YAMAHA,AEROX155
CLM011BP-6310-001161,TOYOTA,VIGO
CLM011AP-6305-000043,ISUZU,DMAX
CLM0112M-6302-000546,HONDA,SCOOPY-I
CLM011BP-6310-001170,ISUZU,DMAX
CLM011AP-6305-000052,TOYOTA,COMMUTER
CLM0112M-6302-000550,HONDA,TEX
CLM011AP-6305-000061,TOYOTA,VIGO
CLM0112M-6302-000564,HONDA,WAVE110i
CLM011BP-6310-001189,NISSAN,NAVARA
CLM011AP-6305-000070,HONDA,CR-V
CLM011BP-6310-001198,PROTON,PERSONA
CLM0112M-6302-000578,HONDA,WAVE110i
CLM0112M-6302-000582,KAWASAKI,ER-6N
CLM011AP-6305-000089,ISUZU,DMAX
CLM011BP-6310-001210,TOYOTA,COROLLA 1.3 DXI
CLM011AP-6305-000098,MITSUBISHI,TRITON MEGA CAB
CLM0112M-6302-000596,YAMAHA,R3
CLM011AP-6305-000101,TOYOTA,VIGO
CLM011BP-6310-001229,NISSAN,ALMERA
CLM0112M-6302-000607,YAMAHA,NMAX
CLM011AP-6305-000110,SOKON,CRC5020CLS
CLM0112M-6302-000611,HONDA,CLICK I
CLM011BP-6310-001238,TOYOTA,MIGHTY X2.5
CLM011BP-6310-001247,MAZDA,FIGHTER 2500
CLM0112M-6302-000625,HONDA,WAVE110i
CLM011AP-6305-000129,ISUZU,PICKUP
CLM011BP-6310-001256,TOYOTA,HILUX Diesel
CLM011AP-6305-000138,MITSUBISHI,TRITON MEGA CAB
CLM0112M-6302-000639,HONDA,<= 150CC
CLM011BP-6310-001265,NISSAN,ALMERA
CLM0112M-6302-000643,KAWASAKI,KLX250
CLM011AP-6305-000147,PROTON,EXORA
CLM011BP-6310-001274,HONDA,JAZZ
CLM011AP-6305-000156,FORD,RANGER
CLM0112M-6302-000657,HONDA,WAVE110i
CLM011BP-6310-001283,MAZDA,BT-50
CLM0112M-6302-000661,YAMAHA,#N/A
CLM011AP-6305-000165,ISUZU,DMAX
CLM011BP-6310-001292,NISSAN,FRONTIER
CLM011AP-6305-000174,PERODUA,PERODUA
CLM0112M-6302-000675,HONDA,CBR300
CLM011AP-6305-000183,ISUZU,DMAX
CLM011BP-6310-001305,ISUZU,DMAX
CLM0112M-6302-000689,HONDA,FORZA
CLM011AP-6305-000192,TOYOTA,HIACE
CLM011BP-6310-001314,TOYOTA,SOLUNA
CLM0112M-6302-000693,HONDA,FORZA
CLM011BP-6310-001323,NISSAN,NAVARA
CLM011AP-6305-000205,MERCEDES-BENZ,C180
CLM011BP-6310-001332,HONDA,CIVIC
CLM011AP-6305-000214,NISSAN,NAVARA
